NH - Permitting Responsibility,Project Name,Project ID,Project State,Process Step Name,Process Step ID,NH - Permit Pack Type,Permit Application Submitted Date,Permit Application Submitted By,NH - Permit Pickup Verified Date,NH - Permit Pickup Verified By,Permit Rejection Recorded Date,Permit Rejection Recorded By,Permit Rejection Details,AHJ,Utility Company,Tick Counter,Process Step Created,Process Step Completed,Process Step Status
,Waypoint at Altair (P2) - Lot 100072,1463111,CA,NHO - F - Permitting,15975058,,3/30/2026 20:18,Melvin Garcia,4/8/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/26/2025 7:47,4/9/2026 18:37,Permit Pickup Complete
,Waypoint at Altair (P2) - Lot 100075 - BATTERY AT CONVERSION - ELITE IP,1463112,CA,NHO - F - Permitting,15980660,,3/30/2026 20:18,Melvin Garcia,4/8/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,1/2/2026 12:38,4/9/2026 18:36,Permit Pickup Complete
,Las Palmas - Lot 06,1463655,CA,NHO - F - Permitting,16029307,,3/10/2026 20:00,Melvin Garcia,4/8/2026,,,,,City of Jurupa Valley,Southern California Edison (SCE),,3/9/2026 18:43,,Pending Permit Pickup
,Las Palmas - Lot 07,1463656,CA,NHO - F - Permitting,16029311,,3/10/2026 20:00,Melvin Garcia,4/8/2026,,,,,City of Jurupa Valley,Southern California Edison (SCE),,3/9/2026 18:43,,Pending Permit Pickup
,Las Palmas - Lot 15,1463657,CA,NHO - F - Permitting,16029739,,3/10/2026 20:01,Melvin Garcia,4/8/2026,,,,,City of Jurupa Valley,Southern California Edison (SCE),,3/10/2026 15:09,,Pending Permit Pickup
,Las Palmas - Lot 08,1463658,CA,NHO - F - Permitting,16029352,,3/10/2026 20:00,Melvin Garcia,4/8/2026,,,,,City of Jurupa Valley,Southern California Edison (SCE),,3/9/2026 19:22,,Pending Permit Pickup
,Las Palmas - Lot 09,1463659,CA,NHO - F - Permitting,16029325,,3/10/2026 20:00,Melvin Garcia,4/8/2026,,,,,City of Jurupa Valley,Southern California Edison (SCE),,3/9/2026 19:02,,Pending Permit Pickup
,Las Palmas - Lot 10,1463660,CA,NHO - F - Permitting,16029443,,3/10/2026 20:00,Melvin Garcia,4/8/2026,,,,,City of Jurupa Valley,Southern California Edison (SCE),,3/9/2026 20:40,,Pending Permit Pickup
,Las Palmas - Lot 11,1463661,CA,NHO - F - Permitting,16029454,,3/10/2026 20:00,Melvin Garcia,4/8/2026,,,,,City of Jurupa Valley,Southern California Edison (SCE),,3/9/2026 20:52,,Pending Permit Pickup
,Las Palmas - Lot 12,1463662,CA,NHO - F - Permitting,16029552,,3/10/2026 20:00,Melvin Garcia,4/8/2026,Melvin Garcia,,,,City of Jurupa Valley,Southern California Edison (SCE),,3/9/2026 22:18,,Pending Permit Pickup
,Las Palmas - Lot 13,1463663,CA,NHO - F - Permitting,16029743,,3/10/2026 20:00,Melvin Garcia,4/8/2026,,,,,City of Jurupa Valley,Southern California Edison (SCE),,3/10/2026 15:09,,Pending Permit Pickup
,Las Palmas - Lot 14,1463664,CA,NHO - F - Permitting,16029748,,3/10/2026 20:01,Melvin Garcia,4/8/2026,,,,,City of Jurupa Valley,Southern California Edison (SCE),,3/10/2026 15:10,,Pending Permit Pickup
,Highland Grove Haciendas (PA2) - Lot 62,1151382,CA,NHO - F - Permitting,16035839,,3/27/2026 15:22,Jared Nast,4/7/2026,Jared Nast,,,,Riverside County,Southern California Edison (SCE),,3/26/2026 22:48,4/7/2026 14:52,Permit Pickup Complete
,RHYTHM - Bldg. 4 - Unit 25,1463698,CA,NHO - F - Permitting,16035270,,3/26/2026 17:13,Melvin Garcia,4/6/2026,Melvin Garcia,,,,Long Beach City,Southern California Edison (SCE),,3/26/2026 13:50,,Pending Permit Pickup
,Rocklin Meadows - Lot 03,1131287,CA,NHO - F - Permitting,16033988,,3/23/2026 17:52,Jared Nast,4/6/2026,Jared Nast,,,,Rocklin City,Pacific Gas & Electric Co. (PG&E),,3/23/2026 14:14,4/6/2026 17:34,Permit Pickup Complete
,Bridle Ridge - Lot 95,1160594,CA,NHO - F - Permitting,16039422,,4/6/2026 16:04,Jared Nast,4/6/2026,Jared Nast,,,,Riverside City,Riverside Public Utilities,,4/6/2026 16:04,4/6/2026 16:15,Permit Pickup Complete
,Beacon at Hillcrest - Lot 124,1226084,CA,NHO - F - Permitting,16039136,,4/3/2026 20:47,Jared Nast,4/6/2026,Jared Nast,,,,Los Angeles City,Los Angeles Department of Water & Power (LADWP),,4/3/2026 20:36,4/6/2026 15:19,Permit Pickup Complete
,RHYTHM - Bldg. 1 - Unit 01,1463688,CA,NHO - F - Permitting,16034194,,3/23/2026 20:47,Melvin Garcia,4/6/2026,Melvin Garcia,,,,Long Beach City,Southern California Edison (SCE),,3/23/2026 19:46,4/6/2026 19:50,Permit Pickup Complete
,RHYTHM - Bldg. 1 - Unit 02,1463689,CA,NHO - F - Permitting,16034301,,3/24/2026 16:20,Melvin Garcia,4/6/2026,Melvin Garcia,,,,Long Beach City,Southern California Edison (SCE),,3/23/2026 22:45,4/6/2026 19:51,Permit Pickup Complete
,RHYTHM - Bldg. 1 - Unit 03,1463690,CA,NHO - F - Permitting,16034438,,3/24/2026 16:36,Melvin Garcia,4/6/2026,Melvin Garcia,,,,Long Beach City,Southern California Edison (SCE),,3/24/2026 14:59,4/6/2026 19:51,Permit Pickup Complete
,RHYTHM - Bldg. 1 - Unit 04,1463691,CA,NHO - F - Permitting,16034538,,3/24/2026 16:51,Melvin Garcia,4/6/2026,Melvin Garcia,,,,Long Beach City,Southern California Edison (SCE),,3/24/2026 16:43,4/6/2026 19:51,Permit Pickup Complete
,RHYTHM - Bldg. 1 - Unit 05,1463692,CA,NHO - F - Permitting,16034404,,3/24/2026 16:30,Melvin Garcia,4/6/2026,Melvin Garcia,,,,Long Beach City,Southern California Edison (SCE),,3/24/2026 14:50,4/6/2026 19:51,Permit Pickup Complete
,RHYTHM - Bldg. 1 - Unit 06,1463693,CA,NHO - F - Permitting,16034430,,3/24/2026 16:34,Melvin Garcia,4/6/2026,Melvin Garcia,,,,Long Beach City,Southern California Edison (SCE),,3/24/2026 14:56,4/6/2026 19:51,Permit Pickup Complete
,RHYTHM - Bldg. 1 - Unit 07,1463694,CA,NHO - F - Permitting,16034731,,3/24/2026 21:58,Melvin Garcia,4/6/2026,Melvin Garcia,,,,Long Beach City,Southern California Edison (SCE),,3/24/2026 21:18,4/6/2026 19:52,Permit Pickup Complete
,RHYTHM - Bldg. 4 - Unit 23,1463696,CA,NHO - F - Permitting,16035281,,3/26/2026 17:07,Melvin Garcia,4/6/2026,Melvin Garcia,,,,Long Beach City,Southern California Edison (SCE),,3/26/2026 14:05,4/6/2026 19:54,Permit Pickup Complete
,RHYTHM - Bldg. 4 - Unit 24,1463697,CA,NHO - F - Permitting,16035274,,3/26/2026 17:10,Melvin Garcia,4/6/2026,Melvin Garcia,,,,Long Beach City,Southern California Edison (SCE),,3/26/2026 13:50,4/6/2026 19:54,Permit Pickup Complete
,RHYTHM - Bldg. 4 - Unit 25,1463698,CA,NHO - F - Permitting,16035270,,3/26/2026 17:13,Melvin Garcia,4/6/2026,Melvin Garcia,,,,Long Beach City,Southern California Edison (SCE),,3/26/2026 13:50,4/6/2026 19:54,Permit Pickup Complete
,RHYTHM - Bldg. 4 - Unit 26,1463699,CA,NHO - F - Permitting,16035183,,3/26/2026 17:18,Melvin Garcia,4/6/2026,Melvin Garcia,,,,Long Beach City,Southern California Edison (SCE),,3/25/2026 22:30,4/6/2026 19:54,Permit Pickup Complete
,RHYTHM - Bldg. 4 - Unit 27,1463700,CA,NHO - F - Permitting,16035266,,3/26/2026 17:21,Melvin Garcia,4/6/2026,Melvin Garcia,,,,Long Beach City,Southern California Edison (SCE),,3/26/2026 13:49,4/6/2026 19:54,Permit Pickup Complete
,Aspire @ Cypress Crossing - Tract 7213-2 - Lot 19,1463444,CA,NHO - F - Permitting,16038027,,4/2/2026 17:22,Melvin Garcia,4/2/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,4/1/2026 20:40,4/2/2026 17:25,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 68,1463597,CA,NHO - F - Permitting,16028042,,3/5/2026 19:18,Jared Nast,4/2/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/5/2026 18:34,4/6/2026 17:51,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 69,1463598,CA,NHO - F - Permitting,16028043,,3/5/2026 19:19,Jared Nast,4/2/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/5/2026 18:34,4/6/2026 17:51,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 70,1463599,CA,NHO - F - Permitting,16028044,,3/5/2026 19:21,Jared Nast,4/2/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/5/2026 18:35,4/6/2026 17:51,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 67,1463603,CA,NHO - F - Permitting,16028041,,3/5/2026 19:16,Jared Nast,4/2/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/5/2026 18:33,4/6/2026 17:51,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 57,1463604,CA,NHO - F - Permitting,16028359,,3/6/2026 16:56,Jared Nast,4/2/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/6/2026 16:26,4/6/2026 17:52,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 56,1463605,CA,NHO - F - Permitting,16028358,,3/6/2026 16:55,Jared Nast,4/2/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/6/2026 16:25,4/6/2026 17:51,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 55,1463606,CA,NHO - F - Permitting,16028357,,3/6/2026 16:53,Jared Nast,4/2/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/6/2026 16:24,4/6/2026 17:52,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 54,1463607,CA,NHO - F - Permitting,16028356,,3/6/2026 16:51,Jared Nast,4/2/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/6/2026 16:24,4/6/2026 17:52,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 07,1463608,CA,NHO - F - Permitting,16028355,,3/6/2026 16:50,Jared Nast,4/2/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/6/2026 16:23,4/6/2026 17:52,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 06,1463609,CA,NHO - F - Permitting,16028353,,3/6/2026 16:48,Jared Nast,4/2/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/6/2026 16:23,4/6/2026 17:52,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 05,1463610,CA,NHO - F - Permitting,16028352,,3/6/2026 16:47,Jared Nast,4/2/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/6/2026 16:22,4/6/2026 17:51,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 04,1463611,CA,NHO - F - Permitting,16028351,,3/6/2026 16:45,Jared Nast,4/2/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/6/2026 16:22,4/6/2026 17:51,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 35 - Unit 200037,1463144,CA,NHO - F - Permitting,16036643,,3/30/2026 20:33,Melvin Garcia,4/1/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,3/30/2026 17:16,4/9/2026 18:28,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 35 - Unit 200036,1463145,CA,NHO - F - Permitting,16036644,,3/30/2026 20:33,Melvin Garcia,4/1/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,3/30/2026 17:16,4/9/2026 18:28,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 34 - Unit 200035,1463146,CA,NHO - F - Permitting,16036645,,3/30/2026 20:33,Melvin Garcia,4/1/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,3/30/2026 17:16,4/9/2026 18:27,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 34 - Unit 200034,1463147,CA,NHO - F - Permitting,16036646,,3/30/2026 20:33,Melvin Garcia,4/1/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,3/30/2026 17:16,4/9/2026 18:27,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 33 - Unit 200033,1463148,CA,NHO - F - Permitting,16036647,,3/30/2026 20:33,Melvin Garcia,4/1/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,3/30/2026 17:16,4/9/2026 18:25,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 33 - Unit 200032,1463149,CA,NHO - F - Permitting,16036648,,3/30/2026 20:33,Melvin Garcia,4/1/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,3/30/2026 17:16,4/9/2026 18:25,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 32 - Unit 200031,1463150,CA,NHO - F - Permitting,16036651,,3/30/2026 20:33,Melvin Garcia,4/1/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,3/30/2026 17:16,4/9/2026 18:24,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 32 - Unit 200030,1463151,CA,NHO - F - Permitting,16036652,,3/30/2026 20:33,Melvin Garcia,4/1/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,3/30/2026 17:17,4/9/2026 18:23,Permit Pickup Complete
,Skylar 2 @ Newhall Ranch - Lot 27,1158804,CA,NHO - F - Permitting,16036841,,3/30/2026 22:44,Jared Nast,3/31/2026,Jared Nast,,,,Los Angeles County,Southern California Edison (SCE),,3/30/2026 22:23,3/31/2026 20:49,Permit Pickup Complete
,Skylar 2 @ Newhall Ranch - Lot 22,1158805,CA,NHO - F - Permitting,16035835,,3/27/2026 15:27,Jared Nast,3/31/2026,Jared Nast,,,,Los Angeles County,Southern California Edison (SCE),,3/26/2026 22:45,3/31/2026 20:49,Permit Pickup Complete
,Skylar 2 @ Newhall Ranch - Lot 17,1158809,CA,NHO - F - Permitting,16035831,,3/27/2026 15:26,Jared Nast,3/31/2026,Jared Nast,,,,Los Angeles County,Southern California Edison (SCE),,3/26/2026 22:45,3/31/2026 20:49,Permit Pickup Complete
,Skylar 2 @ Newhall Ranch - Lot 26,1158812,CA,NHO - F - Permitting,16036839,,3/30/2026 22:43,Jared Nast,3/31/2026,Jared Nast,,,,Los Angeles County,Southern California Edison (SCE),,3/30/2026 22:23,3/31/2026 20:49,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 64,1463600,CA,NHO - F - Permitting,16028036,,3/5/2026 19:09,Jared Nast,3/31/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/5/2026 18:32,4/6/2026 17:51,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 65,1463601,CA,NHO - F - Permitting,16028038,,3/5/2026 19:12,Jared Nast,3/31/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/5/2026 18:33,4/6/2026 17:51,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 66,1463602,CA,NHO - F - Permitting,16028040,,3/5/2026 19:14,Jared Nast,3/31/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,3/5/2026 18:33,4/6/2026 17:51,Permit Pickup Complete
,Aspire at Davis (AKA Davis Ranch) - Lot 68,1463649,CA,NHO - F - Permitting,16029113,,3/9/2026 18:10,Melvin Garcia,3/31/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,3/9/2026 15:30,3/31/2026 20:55,Permit Pickup Complete
,Aspire at Davis (AKA Davis Ranch) - Lot 67,1463650,CA,NHO - F - Permitting,16028279,,3/6/2026 20:09,Melvin Garcia,3/31/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,3/5/2026 23:51,3/31/2026 20:55,Permit Pickup Complete
,Aspire at Davis (AKA Davis Ranch) - Lot 61,1463651,CA,NHO - F - Permitting,16028190,,3/6/2026 20:09,Melvin Garcia,3/31/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,3/5/2026 22:12,3/31/2026 20:54,Permit Pickup Complete
,Aspire at Davis (AKA Davis Ranch) - Lot 60,1463652,CA,NHO - F - Permitting,16028186,,3/6/2026 20:09,Melvin Garcia,3/31/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,3/5/2026 22:12,3/31/2026 20:54,Permit Pickup Complete
,ADU - Guobiao Li - 563 Bregante Dr,1463556,CA,NHO - F - Permitting,16025708,,3/2/2026 19:04,Jared Nast,3/23/2026,Jared Nast,,,,City of Diamond Bar,Southern California Edison (SCE),,3/2/2026 19:03,3/23/2026 15:25,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 35 - Unit 200037,1463144,CA,NHO - F - Permitting,15980672,,3/20/2026 20:39,Melvin Garcia,3/20/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,1/2/2026 12:49,3/20/2026 20:44,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 35 - Unit 200036,1463145,CA,NHO - F - Permitting,15972317,,3/20/2026 20:39,Melvin Garcia,3/20/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/22/2025 17:17,3/20/2026 20:44,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 34 - Unit 200035,1463146,CA,NHO - F - Permitting,15974964,,3/20/2026 20:39,Melvin Garcia,3/20/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/25/2025 22:53,3/20/2026 20:44,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 34 - Unit 200034,1463147,CA,NHO - F - Permitting,15974960,,3/20/2026 20:39,Melvin Garcia,3/20/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/25/2025 22:53,3/20/2026 20:44,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 33 - Unit 200033,1463148,CA,NHO - F - Permitting,15972309,,3/20/2026 20:39,Melvin Garcia,3/20/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/22/2025 17:14,3/20/2026 20:44,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 33 - Unit 200032,1463149,CA,NHO - F - Permitting,15972310,,3/20/2026 20:39,Melvin Garcia,3/20/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/22/2025 17:15,3/20/2026 20:44,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 32 - Unit 200031,1463150,CA,NHO - F - Permitting,15972313,,3/20/2026 20:39,Melvin Garcia,3/20/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/22/2025 17:16,3/20/2026 20:44,Permit Pickup Complete
,Glenwood at Altair (P3) - Bldg. 32 - Unit 200030,1463151,CA,NHO - F - Permitting,15972311,,3/20/2026 20:39,Melvin Garcia,3/20/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/22/2025 17:15,3/20/2026 20:44,Permit Pickup Complete
,The Orchards at Heritage Grove - Tract 5520-5 - Lot 257,1157286,CA,NHO - F - Permitting,16029108,,3/12/2026 17:41,Jared Nast,3/19/2026,Jared Nast,,,,Fillmore City,Southern California Edison (SCE),,3/9/2026 15:28,3/19/2026 23:03,Permit Pickup Complete
,Cotino - Lot 215,1451127,CA,NHO - F - Permitting,16030185,,3/12/2026 18:19,Jared Nast,3/19/2026,Jared Nast,,,,Rancho Mirage City,Southern California Edison (SCE),,3/10/2026 22:41,3/19/2026 21:03,Permit Pickup Complete
,Lotus at Rienda (MR46) - Lot 36,1463642,CA,NHO - F - Permitting,16033238,,3/19/2026 17:32,Melvin Garcia,3/19/2026,Melvin Garcia,,,,Orange County,San Diego Gas & Electric (SDG&E),,3/19/2026 14:11,3/19/2026 20:23,Permit Pickup Complete
,Lotus at Rienda (MR46) - Lot 35,1463643,CA,NHO - F - Permitting,16033237,,3/19/2026 17:30,Melvin Garcia,3/19/2026,Melvin Garcia,,,,Orange County,San Diego Gas & Electric (SDG&E),,3/19/2026 14:11,3/19/2026 20:17,Permit Pickup Complete
,Lotus at Rienda (MR46) - Lot 34,1463644,CA,NHO - F - Permitting,16033236,,3/19/2026 17:32,Melvin Garcia,3/19/2026,Melvin Garcia,,,,Orange County,San Diego Gas & Electric (SDG&E),,3/19/2026 14:10,3/19/2026 20:25,Permit Pickup Complete
,Lotus at Rienda (MR46) - Lot 03,1463645,CA,NHO - F - Permitting,16033235,,3/19/2026 17:32,Melvin Garcia,3/19/2026,Melvin Garcia,,,,Orange County,San Diego Gas & Electric (SDG&E),,3/19/2026 14:10,3/19/2026 20:21,Permit Pickup Complete
,Lotus at Rienda (MR46) - Lot 02,1463646,CA,NHO - F - Permitting,16033233,,3/19/2026 17:31,Melvin Garcia,3/19/2026,Melvin Garcia,,,,Orange County,San Diego Gas & Electric (SDG&E),,3/19/2026 14:09,3/19/2026 20:15,Permit Pickup Complete
,Lotus at Rienda (MR46) - Lot 01,1463647,CA,NHO - F - Permitting,16033231,,3/19/2026 17:31,Melvin Garcia,3/19/2026,Melvin Garcia,,,,Orange County,San Diego Gas & Electric (SDG&E),,3/19/2026 14:09,3/19/2026 19:58,Permit Pickup Complete
,Skylar 2 @ Newhall Ranch - Lot 23,1158783,CA,NHO - F - Permitting,16029624,,3/12/2026 17:52,Jared Nast,3/18/2026,Jared Nast,,,,Los Angeles County,Southern California Edison (SCE),,3/9/2026 23:18,3/18/2026 18:29,Permit Pickup Complete
,Skylar 2 @ Newhall Ranch - Lot 25,1158807,CA,NHO - F - Permitting,16029516,,3/12/2026 17:52,Jared Nast,3/18/2026,Jared Nast,,,,Los Angeles County,Southern California Edison (SCE),,3/9/2026 21:46,3/18/2026 18:29,Permit Pickup Complete
,Skylar 2 @ Newhall Ranch - Lot 16,1158811,CA,NHO - F - Permitting,16029473,,3/12/2026 17:52,Jared Nast,3/18/2026,Jared Nast,,,,Los Angeles County,Southern California Edison (SCE),,3/9/2026 21:13,3/18/2026 18:28,Permit Pickup Complete
,Skylar 2 @ Newhall Ranch - Lot 15,1158814,CA,NHO - F - Permitting,16032225,,3/17/2026 15:22,Jared Nast,3/18/2026,Jared Nast,,,,Los Angeles County,Southern California Edison (SCE),,3/17/2026 14:49,3/18/2026 18:28,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 1 - Unit 6,1457982,CA,NHO - F - Permitting,16032564,,3/17/2026 22:14,Melvin Garcia,3/17/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,3/17/2026 21:57,,Pending Permit Pickup
,Southcreek (PA12) - Tract - 37389-4 - Lot 75,1463578,CA,NHO - F - Permitting,16012280,,2/11/2026 18:22,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 23:47,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 76,1463579,CA,NHO - F - Permitting,16012285,,2/11/2026 18:25,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 23:47,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 77,1463580,CA,NHO - F - Permitting,16013544,,2/11/2026 18:27,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/11/2026 16:12,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 78,1463581,CA,NHO - F - Permitting,16012537,,2/11/2026 18:29,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/10/2026 16:11,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 79,1463582,CA,NHO - F - Permitting,16012533,,2/11/2026 18:32,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/10/2026 16:11,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 38,1463583,CA,NHO - F - Permitting,16011986,,2/11/2026 18:18,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 21:15,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 37,1463584,CA,NHO - F - Permitting,16011982,,2/11/2026 18:15,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 21:15,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 36,1463585,CA,NHO - F - Permitting,16011977,,2/11/2026 18:10,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 21:15,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 35,1463586,CA,NHO - F - Permitting,16011973,,2/11/2026 18:06,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 21:15,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 73,1463587,CA,NHO - F - Permitting,16011787,,2/11/2026 18:47,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 20:05,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 72,1463588,CA,NHO - F - Permitting,16011819,,2/11/2026 18:45,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 20:28,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 71,1463589,CA,NHO - F - Permitting,16012217,,2/11/2026 18:43,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 23:07,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 63,1463590,CA,NHO - F - Permitting,16012213,,2/11/2026 18:41,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 23:06,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 62,1463591,CA,NHO - F - Permitting,16012271,,2/11/2026 18:39,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 23:42,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 61,1463592,CA,NHO - F - Permitting,16012137,,2/11/2026 18:37,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 22:23,3/17/2026 22:46,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 60,1463593,CA,NHO - F - Permitting,16011990,,2/11/2026 18:34,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 21:15,3/17/2026 22:46,Permit Pickup Complete
